iter	Passed	Remaining
542	3264	2747
543	3270	2741
544	3275	2734
545	3281	2728
546	3287	2722
547	3293	2716
548	3298	2710
549	3304	2703
550	3311	2698
551	3317	2692
552	3322	2685
553	3328	2679
554	3335	2674
555	3341	2668
556	3347	2662
557	3353	2656
558	3359	2650
559	3364	2643
560	3369	2636
561	3376	2631
562	3382	2625
563	3388	2619
564	3394	2613
565	3399	2606
566	3404	2599
567	3409	2592
568	3414	2586
569	3420	2580
570	3426	2574
571	3431	2567
572	3437	2561
573	3443	2555
574	3449	2549
575	3455	2543
576	3459	2536
577	3465	2530
578	3469	2522
579	3475	2517
580	3481	2510
581	3486	2504
582	3492	2498
583	3498	2492
584	3505	2486
585	3511	2480
586	3517	2474
587	3522	2468
588	3529	2462
589	3535	2456
590	3541	2451
591	3547	2445
592	3552	2438
593	3558	2432
594	3563	2425
595	3568	2419
596	3572	2411
597	3577	2404
598	3583	2398
599	3589	2392
600	3594	2386
601	3600	2380
602	3606	2374
603	3612	2368
604	3617	2361
605	3622	2355
606	3628	2349
607	3634	2342
608	3639	2336
609	3645	2330
610	3649	2323
611	3654	2316
612	3659	2310
613	3666	2304
614	3672	2298
615	3676	2292
616	3682	2285
617	3689	2280
618	3694	2273
619	3699	2267
620	3705	2261
621	3711	2255
622	3716	2248
623	3720	2241
624	3726	2235
625	3732	2230
626	3737	2223
627	3743	2217
628	3749	2211
629	3755	2205
630	3761	2199
631	3766	2193
632	3773	2187
633	3777	2180
634	3784	2175
635	3791	2169
636	3796	2163
637	3803	2158
638	3809	2152
639	3815	2146
640	3821	2140
641	3828	2134
642	3834	2129
643	3840	2122
644	3844	2116
645	3849	2109
646	3854	2103
647	3860	2097
648	3867	2091
649	3873	2085
650	3879	2079
651	3885	2073
652	3890	2067
653	3896	2061
654	3902	2055
655	3907	2049
656	3912	2042
657	3917	2036
658	3923	2030
659	3929	2024
660	3935	2018
661	3941	2012
662	3946	2006
663	3952	2000
664	3958	1994
665	3963	1987
666	3968	1981
667	3974	1975
668	3979	1968
669	3986	1963
670	3991	1956
671	3997	1951
672	4002	1944
673	4008	1938
674	4014	1932
675	4020	1926
676	4026	1921
677	4033	1915
678	4039	1909
679	4044	1903
680	4049	1897
681	4055	1891
682	4061	1885
683	4068	1879
684	4073	1873
685	4079	1867
686	4085	1861
687	4091	1855
688	4097	1849
689	4102	1843
690	4108	1837
691	4113	1830
692	4119	1824
693	4125	1818
694	4130	1812
695	4136	1806
696	4140	1800
697	4145	1793
698	4151	1787
699	4157	1781
700	4163	1775
701	4169	1770
702	4175	1764
703	4181	1758
704	4185	1751
705	4189	1744
706	4195	1738
707	4200	1732
708	4206	1726
709	4212	1720
710	4217	1714
711	4223	1708
712	4228	1702
713	4234	1696
714	4239	1690
715	4244	1683
716	4250	1677
717	4255	1671
718	4261	1665
719	4267	1659
720	4273	1653
721	4277	1647
722	4283	1641
723	4291	1635
724	4296	1629
725	4301	1623
726	4306	1617
727	4312	1611
728	4317	1605
729	4322	1598
730	4327	1592
731	4332	1586
732	4338	1580
733	4343	1574
734	4349	1568
735	4354	1561
736	4359	1555
737	4365	1549
738	4371	1543
739	4376	1537
740	4380	1531
741	4385	1524
742	4391	1519
743	4396	1512
744	4402	1506
745	4407	1500
746	4413	1494
747	4419	1488
748	4424	1482
749	4430	1476
750	4435	1470
751	4441	1464
752	4447	1458
753	4453	1452
754	4458	1446
755	4464	1440
756	4470	1434
757	4475	1428
758	4481	1423
759	4487	1417
760	4493	1411
761	4498	1405
762	4504	1399
763	4509	1393
764	4516	1387
765	4521	1381
766	4527	1375
767	4532	1369
768	4537	1362
769	4543	1357
770	4549	1351
771	4555	1345
772	4561	1339
773	4566	1333
774	4572	1327
775	4578	1321
776	4584	1315
777	4590	1309
778	4596	1303
779	4601	1297
780	4608	1292
781	4614	1286
782	4619	1280
783	4625	1274
784	4631	1268
785	4637	1262
786	4641	1256
787	4648	1250
788	4653	1244
789	4659	1238
790	4664	1232
791	4670	1226
792	4675	1220
793	4681	1214
794	4687	1208
795	4693	1202
796	4699	1196
797	4704	1190
798	4710	1185
799	4715	1178
800	4721	1173
801	4727	1167
802	4733	1161
803	4738	1155
804	4742	1148
805	4747	1142
806	4752	1136
807	4758	1130
808	4764	1124
809	4770	1118
810	4776	1113
811	4781	1107
812	4787	1101
813	4793	1095
814	4798	1089
815	4804	1083
816	4809	1077
817	4815	1071
818	4821	1065
819	4825	1059
820	4831	1053
821	4837	1047
822	4842	1041
823	4848	1035
824	4854	1029
825	4860	1023
826	4865	1017
827	4870	1011
828	4878	1006
829	4884	1000
830	4889	994
831	4894	988
832	4899	982
833	4905	976
834	4911	970
835	4916	964
836	4922	958
837	4928	952
838	4934	946
839	4939	940
840	4945	935
841	4950	929
842	4957	923
843	4963	917
844	4968	911
845	4973	905
846	4978	899
847	4984	893
848	4990	887
849	4995	881
850	5000	875
851	5006	869
852	5012	863
853	5017	857
854	5022	851
855	5028	845
856	5032	839
857	5038	833
858	5044	827
859	5050	822
860	5054	816
861	5060	810
862	5065	804
863	5071	798
864	5077	792
865	5082	786
866	5087	780
867	5092	774
868	5097	768
869	5103	762
870	5108	756
871	5113	750
872	5118	744
873	5124	738
874	5130	732
875	5136	727
876	5140	721
877	5146	715
878	5151	709
879	5157	703
880	5162	697
881	5168	691
882	5174	685
883	5179	679
884	5185	673
885	5190	667
886	5196	661
887	5202	656
888	5208	650
889	5214	644
890	5220	638
891	5225	632
892	5231	626
893	5237	621
894	5243	615
895	5250	609
896	5256	603
897	5262	597
898	5268	591
899	5273	585
900	5279	580
901	5285	574
902	5291	568
903	5297	562
904	5303	556
905	5310	550
906	5315	545
907	5321	539
908	5327	533
909	5333	527
910	5340	521
911	5346	515
912	5351	509
913	5356	503
914	5362	498
915	5367	492
916	5372	486
917	5378	480
918	5384	474
919	5390	468
920	5396	462
921	5401	456
922	5405	450
923	5411	445
924	5418	439
925	5423	433
926	5429	427
927	5436	421
928	5444	416
929	5449	410
930	5456	404
931	5462	398
932	5468	392
933	5474	386
934	5482	381
935	5489	375
936	5496	369
937	5503	363
938	5508	357
939	5515	352
940	5522	346
941	5530	340
942	5538	334
943	5547	329
944	5554	323
945	5561	317
946	5569	311
947	5575	305
948	5588	300
949	5594	294
950	5618	289
951	5626	283
952	5640	278
953	5650	272
954	5658	266
955	5666	260
956	5673	254
957	5683	249
958	5691	243
959	5704	237
960	5712	231
961	5717	225
962	5724	219
963	5730	214
964	5737	208
965	5741	202
966	5746	196
967	5753	190
968	5760	184
969	5766	178
970	5771	172
971	5778	166
972	5785	160
973	5788	154
974	5794	148
975	5800	142
976	5805	136
977	5811	130
978	5820	124
979	5827	118
980	5834	112
981	5840	107
982	5846	101
983	5852	95
984	5862	89
985	5870	83
986	5878	77
987	5886	71
988	5895	65
989	5906	59
990	5914	53
991	5933	47
992	5947	41
993	5957	35
994	5966	29
995	5976	24
996	5983	18
997	5994	12
998	6000	6
999	6009	0
